VESSEL_ID,Trip_ID,OBSET_ID,Total_Hooks_Set,Hooks_Observed,BSL,Birds_Obs_Caught,Season,Hooks_Recovered,Year,Regulation
Blomeha,FAO12,Benjamin Hoeseb_12_1,9630,,Yes,0,Summer,6000,2018,AFTER
Boston Wayfarer,FAO13,Mowa George_13_1,17640,,Yes,0,Summer,17400,2018,AFTER
Boston Wayfarer,FAO13,Mowa George_13_1,17640,,Yes,0,Summer,17500,2018,AFTER
Boston Wayfarer,FAO13,Mowa George_13_1,17640,,Yes,0,Summer,17450,2018,AFTER
Boston Wayfarer,FAO13,Mowa George_13_1,15120,,Yes,0,Summer,14000,2018,AFTER
Joao N Castro,FAO14,Tiofelus Hinamunhu_14_1,23400,,Yes,3,Summer,23300,2018,AFTER
Joao N Castro,FAO14,Tiofelus Hinamunhu_14_1,25200,,Yes,1,Summer,25000,2018,AFTER
Joao N Castro,FAO14,Tiofelus Hinamunhu_14_1,25200,,Yes,0,Summer,25100,2018,AFTER
Joao N Castro,FAO14,Tiofelus Hinamunhu_14_1,23850,,Yes,0,Summer,23760,2018,AFTER
Joao N Castro,FAO14,Tiofelus Hinamunhu_14_1,23220,,Yes,0,Summer,23070,2018,AFTER
Joao N Castro,FAO14,Tiofelus Hinamunhu_14_1,22500,,Yes,0,Summer,22390,2018,AFTER
Joao N Castro,FAO14,Tiofelus Hinamunhu_14_1,25200,,Yes,0,Summer,25060,2018,AFTER
Joao N Castro,FAO14,Tiofelus Hinamunhu_14_1,9000,,Yes,0,Summer,8900,2018,AFTER
Carolina Castro,FAO15,David A_15_1,16200,,Yes,0,Summer,16100,2018,AFTER
Carolina Castro,FAO15,David A_15_1,16200,,Yes,0,Summer,16100,2018,AFTER
Carolina Castro,FAO15,David A_15_1,16200,,Yes,2,Summer,16100,2018,AFTER
Carolina Castro,FAO15,David A_15_1,16200,,Yes,1,Summer,16100,2018,AFTER
Carolina Castro,FAO15,David A_15_1,16200,,Yes,1,Summer,16100,2018,AFTER
Carolina Castro,FAO15,David A_15_1,16300,,Yes,0,Summer,16200,2018,AFTER
Carolina Castro,FAO16,Tiofelus Hinamunhu_16_1,15300,,Yes,0,Summer,15100,2018,AFTER
Carolina Castro,FAO16,Tiofelus Hinamunhu_16_1,16200,,Yes,0,Summer,16100,2018,AFTER
Carolina Castro,FAO16,Tiofelus Hinamunhu_16_1,16200,,Yes,0,Summer,16100,2018,AFTER
Carolina Castro,FAO16,Tiofelus Hinamunhu_16_1,14400,,Yes,0,Summer,14200,2018,AFTER
Joao N Castro,FAO17,Nicky Kwedhi_17_1,22500,,Yes,0,Summer,22400,2018,AFTER
Joao N Castro,FAO17,Nicky Kwedhi_17_1,23400,,Yes,0,Summer,23250,2018,AFTER
Joao N Castro,FAO17,Nicky Kwedhi_17_1,23460,,Yes,0,Summer,23230,2018,AFTER
Joao N Castro,FAO17,Nicky Kwedhi_17_1,23400,,Yes,0,Summer,23200,2018,AFTER
Joao N Castro,FAO17,Nicky Kwedhi_17_1,23400,,Yes,0,Summer,23200,2018,AFTER
