REG,nsets,boot.mean,boot.lcl,boot.ucl,boot.mean.fatal,boot.lcl.fatal,boot.ucl.fatal,boot.mean.heavy,boot.lcl.heavy,boot.ucl.heavy
0,657,3.72384216352388,2.97730697458529,4.45703339632875,0.0547945205479452,0,0.127853881278539,1.09433907036647,0.813902800779698,1.38905938163454
1,260,2.23502025691277,1.36595241579134,3.10442373962413,0.0230769230769231,0,0.0692307692307692,0.49969872960426,0.230926677246461,0.836440108735801
CHANGE(%),,39.9808005074586,54.1212099574783,30.3477568245004,57.8846153846154,,45.8516483516484,54.3378516644825,71.6272413579068,39.7837040090005
