REG,Year,tot_effort,bycatch,bycatch.lcl,bycatch.ucl
0,2009,90323.6333333333,4949.2401826484,0,11548.2270928463
0,2010,61753.65,3383.76164383562,0,7895.44383561644
1,2016,51086.8,1178.92615384615,0,3536.77846153846
1,2017,40403.9166666667,932.398076923077,0,2797.19423076923
1,2018,33351.2166666667,769.643461538462,0,2308.93038461539
