REG,Year,tot_effort,bycatch,bycatch.lcl,bycatch.ucl
0,2009,37945.0666666667,2079.18173515982,0,4851.42404870624
0,2010,33335.8333333333,1826.62100456621,0,4262.11567732116
1,2016,23167.15,534.626538461539,0,1603.87961538462
1,2017,22472.5,518.596153846154,0,1555.78846153846
1,2018,17611.65,406.422692307692,0,1219.26807692308
