REG,Tori_line_deployed,Vessel_Activity,nsets,mean.tot.rate,sd.tot.rate,mean.fatal.rate,sd.fatal.rate,mean.heavy.rate,sd.heavy.rate
0,No,Haul,42,0,0,0,0,0,0
0,No,Set,73,4.58307262239989,7.74884980555482,0,0,1.13672286617492,3.22283500210791
0,No,Trawl,542,3.89667896678967,10.3935688581157,0.0664206642066421,0.891123671313861,1.17343173431734,3.9735022095834
1,No,Haul,6,1.86470588235294,4.28037284538412,0,0,1.86470588235294,4.28037284538412
1,No,Set,5,4.38709677419355,8.76802439669392,0,0,0,0
1,No,Trawl,11,4.46686536400154,7.99111465375542,0,0,1.03288879443175,3.1034527785825
1,Yes,Haul,21,0.747202106649111,2.97006817183489,0,0,0,0
1,Yes,Set,51,4.03387481383131,8.81074180250247,0,0,0.854414809402022,2.92700145129888
1,Yes,Trawl,166,1.67124800532042,7.09286695162209,0.036144578313253,0.465690315423799,0.384316279426131,2.40408070328016
