START,END,date,lat,lon,Observer,dawn,sunrise
2018-02-10T02:30:00Z,2018-02-10T04:30:00Z,2018-02-10,24.59,24.59,FOA,2018-02-10T04:09:59Z,2018-02-10T05:00:25Z
2018-03-03T02:00:00Z,2018-03-03T04:00:00Z,2018-03-03,24.42,13.46,FOA,2018-03-03T04:39:13Z,2018-03-03T05:28:27Z
2018-03-04T02:00:00Z,2018-03-04T04:00:00Z,2018-03-04,24.49,13.45,FOA,2018-03-04T04:38:22Z,2018-03-04T05:27:36Z
2018-03-05T02:00:00Z,2018-03-05T04:00:00Z,2018-03-05,24.37,13.48,FOA,2018-03-05T04:37:20Z,2018-03-05T05:26:29Z
2018-03-06T02:00:00Z,2018-03-06T04:00:00Z,2018-03-06,24.1,13.26,FOA,2018-03-06T04:37:16Z,2018-03-06T05:26:18Z
2018-03-07T02:00:00Z,2018-03-07T04:00:00Z,2018-03-07,24.58,13.28,FOA,2018-03-07T04:36:17Z,2018-03-07T05:25:29Z
2018-03-08T02:00:00Z,2018-03-08T04:00:00Z,2018-03-08,24.17,13.29,FOA,2018-03-08T04:35:18Z,2018-03-08T05:24:19Z
2018-03-09T03:15:00Z,2018-03-09T05:15:00Z,2018-03-09,23.49,13.15,FOA,2018-03-09T04:34:55Z,2018-03-09T05:23:41Z
2018-06-09T01:45:00Z,2018-06-09T03:45:00Z,2018-06-09,21.49,12.44,FOA,2018-06-09T03:34:16Z,2018-06-09T04:28:34Z
2018-06-10T02:15:00Z,2018-06-10T04:15:00Z,2018-06-10,20.52,12.4,FOA,2018-06-10T03:36:52Z,2018-06-10T04:30:43Z
2018-06-11T02:00:00Z,2018-06-11T04:00:00Z,2018-06-11,21.11,12.42,FOA,2018-06-11T03:35:19Z,2018-06-11T04:29:30Z
2018-06-12T02:15:00Z,2018-06-12T04:15:00Z,2018-06-12,21.13,12.43,FOA,2018-06-12T03:35:15Z,2018-06-12T04:29:29Z
2018-06-13T02:45:00Z,2018-06-13T04:45:00Z,2018-06-13,21,12.42,FOA,2018-06-13T03:35:40Z,2018-06-13T04:29:52Z
2018-03-30T02:00:00Z,2018-03-30T04:00:00Z,2018-03-30,23.19,13.24,FOA,2018-03-30T04:13:44Z,2018-03-30T05:02:42Z
2018-03-31T01:50:00Z,2018-03-31T03:50:00Z,2018-03-31,23.4,13.2,FOA,2018-03-31T04:12:43Z,2018-03-31T05:01:48Z
2018-04-01T01:48:00Z,2018-04-01T03:48:00Z,2018-04-01,24,13.27,FOA,2018-04-01T04:10:55Z,2018-04-01T05:00:18Z
2018-04-02T01:48:00Z,2018-04-02T03:48:00Z,2018-04-02,24.21,13.3,FOA,2018-04-02T04:09:34Z,2018-04-02T04:59:05Z
2018-04-03T02:18:00Z,2018-04-03T04:18:00Z,2018-04-03,23.59,13.24,FOA,2018-04-03T04:09:18Z,2018-04-03T04:58:37Z
2018-04-04T02:20:00Z,2018-04-04T04:20:00Z,2018-04-04,23.31,13.21,FOA,2018-04-04T04:08:38Z,2018-04-04T04:57:54Z
2018-04-05T02:00:00Z,2018-04-05T04:00:00Z,2018-04-05,23.5,13.18,FOA,2018-04-05T04:07:33Z,2018-04-05T04:56:57Z
2018-04-06T02:00:00Z,2018-04-06T04:00:00Z,2018-04-06,23.57,13.17,FOA,2018-04-06T04:06:30Z,2018-04-06T04:55:59Z
2018-06-07T02:10:00Z,2018-06-07T04:10:00Z,2018-06-07,24.21,13.41,FOA,2018-06-07T03:23:18Z,2018-06-07T04:19:07Z
2018-06-08T06:20:00Z,2018-06-08T08:20:00Z,2018-06-08,25.49,13.51,FOA,2018-06-08T03:19:15Z,2018-06-08T04:15:58Z
2018-06-09T02:00:00Z,2018-06-09T04:00:00Z,2018-06-09,26.23,14.07,FOA,2018-06-09T03:14:47Z,2018-06-09T04:12:06Z
2018-06-10T02:55:00Z,2018-06-10T04:55:00Z,2018-06-10,26.17,14.02,FOA,2018-06-10T03:15:06Z,2018-06-10T04:12:25Z
2018-06-11T05:40:00Z,2018-06-11T07:40:00Z,2018-06-11,25.24,13.42,FOA,2018-06-11T03:20:10Z,2018-06-11T04:16:52Z
2018-03-22T02:55:00Z,2018-03-22T04:55:00Z,2018-03-22,22.39,13.04,FOA,2018-03-22T04:23:04Z,2018-03-22T05:11:28Z
2018-03-22T01:40:00Z,2018-03-22T03:40:00Z,2018-03-22,22.48,13.07,FOA,2018-03-22T04:22:55Z,2018-03-22T05:11:21Z
2018-03-23T01:35:00Z,2018-03-23T03:35:00Z,2018-03-23,22.42,13.06,FOA,2018-03-23T04:21:59Z,2018-03-23T05:10:26Z
2018-03-23T02:57:00Z,2018-03-23T04:57:00Z,2018-03-23,22.34,13.03,FOA,2018-03-23T04:22:09Z,2018-03-23T05:10:33Z
2018-03-24T01:40:00Z,2018-03-24T03:40:00Z,2018-03-24,22.39,13.06,FOA,2018-03-24T04:21:01Z,2018-03-24T05:09:28Z
2018-03-24T03:00:00Z,2018-03-24T05:00:00Z,2018-03-24,22.3,13.04,FOA,2018-03-24T04:21:08Z,2018-03-24T05:09:33Z
2018-03-25T01:40:00Z,2018-03-25T03:40:00Z,2018-03-25,22.39,13.04,FOA,2018-03-25T04:20:06Z,2018-03-25T05:08:35Z
2018-03-25T03:00:00Z,2018-03-25T05:00:00Z,2018-03-25,22.31,13.01,FOA,2018-03-25T04:20:16Z,2018-03-25T05:08:43Z
2018-03-26T02:14:00Z,2018-03-26T04:14:00Z,2018-03-26,22.58,13.25,FOA,2018-03-26T04:18:09Z,2018-03-26T05:06:44Z
2018-03-26T03:40:00Z,2018-03-26T05:40:00Z,2018-03-26,23.07,13.25,FOA,2018-03-26T04:17:52Z,2018-03-26T05:06:38Z
2018-03-27T01:55:00Z,2018-03-27T03:55:00Z,2018-03-27,23.12,13.25,FOA,2018-03-27T04:16:49Z,2018-03-27T05:05:38Z
2018-03-27T03:20:00Z,2018-03-27T05:20:00Z,2018-03-27,23.02,13.25,FOA,2018-03-27T04:16:53Z,2018-03-27T05:05:40Z
2018-03-09T02:00:00Z,2018-03-09T04:00:00Z,2018-03-09,23.19,13.2,FOA,2018-03-09T04:34:44Z,2018-03-09T05:23:22Z
2018-03-10T02:00:00Z,2018-03-10T04:00:00Z,2018-03-10,22.56,13.24,FOA,2018-03-10T04:33:40Z,2018-03-10T05:22:05Z
2018-03-11T02:15:00Z,2018-03-11T04:15:00Z,2018-03-11,22.58,13.22,FOA,2018-03-11T04:32:50Z,2018-03-11T05:21:14Z
