year,Observer,prop set before nautical dawn,mean time after nautical dawn (hrs),sd time after nautical dawn (hrs)
2009,ATF,0,2.85905555555556,2.30708814969274
2010,ATF,0.107142857142857,2.07165178571429,1.74168459902456
2011,ATF,0.0952380952380952,2.18490740740741,1.86194943874654
2012,ATF,0,1.78734259259259,0.807891914085866
2016,ATF,0,2.55916666666667,0.867845678331797
2017,ATF,0.0810810810810811,1.43784534534535,2.10238413924602
2017,FOA,0,1.75538029100529,0.979869978484665
2018,ATF,0.0384615384615385,2.52476495726496,2.3343280147128
2018,FOA,0.00271739130434783,2.37102732487923,1.35991232601466
